trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.2, 'e': 0.94604234352838701}",20,5,-29.798660375419878,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.2, 'e': 0.94275466552834619}",30,0,-142.37086698449485,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.2, 'e': 0.93937271284737889}",20,0,-44.94787305457351,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.2, 'e': 0.93589682367793481}",30,9,-17.76135454930628,"{0: 16, 1: 4, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.2, 'e': 0.93232734560603447}",20,10,-47.02147461974679,"{0: 4, 1: 1, 2: 5, 3: 0, 4: 0}",1
39,False,"{'a': 0.2, 'e': 0.92866463557651024}",30,18,-86.07634418620519,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 2}",1
40,False,"{'a': 0.2, 'e': 0.92490905985731309}",20,0,-127.57352487989301,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.2, 'e': 0.9210609940028851}",25,6,-238.43090385876906,"{0: 6, 1: 1, 2: 6, 3: 3, 4: 3}",1
42,False,"{'a': 0.2, 'e': 0.91712082281660512}",20,0,-129.7319392032012,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
43,False,"{'a': 0.2, 'e': 0.91308894031230825}",20,0,-44.36530828689807,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.90896574967488508}",30,0,-179.97829385078794,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.90475166321996336}",25,0,-108.268521260086,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.2, 'e': 0.90044710235267689}",20,0,-108.01041764640433,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.89605249752552518}",30,0,-81.63611340803122,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.89156828819532896}",25,0,-24.888207993543745,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.88699492277928416}",20,0,-112.97022443937331,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.88233285861012145}",20,0,-73.25386273812775,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.2, 'e': 0.87758256189037276}",25,0,-49.65475128461206,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.87274450764575129}",20,0,-102.39639162542021,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.2, 'e': 0.86781917967764988}",30,0,-121.72277457606617,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.86280707051476102}",20,0,-156.36600426831836,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.2, 'e': 0.85770868136382417}",25,0,-20.5185988008352,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.2, 'e': 0.85252452205950568}",30,15,-79.48129969031358,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.2, 'e': 0.84725511101341611}",20,0,-98.72924826791872,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.84190097516226869}",20,5,-34.81023063777074,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.83646264991518693}",30,0,-109.68531409475578,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.83094067910016356}",20,0,-102.92769029984342,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.82533561490967833}",20,0,-124.09949257566068,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
62,False,"{'a': 0.2, 'e': 0.81964801784547947}",20,0,-64.06024219373383,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.2, 'e': 0.81387845666253389}",25,0,-105.8866572297831,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
64,False,"{'a': 0.2, 'e': 0.80802750831215187}",25,8,-46.50382009462833,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.80209575788429266}",20,15,-2.8315836881450505,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.2, 'e': 0.79608379854905587}",25,0,-90.54396261550087,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
67,False,"{'a': 0.2, 'e': 0.78999223149736508}",25,0,-98.77335151529842,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.2, 'e': 0.78382166588084923}",20,0,-67.69354459910421,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.2, 'e': 0.77757271875092793}",20,0,-32.171073825698564,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.2, 'e': 0.77124601499710654}",20,15,10.90379350484654,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.76484218728448838}",25,1,-78.74315447406703,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
72,False,"{'a': 0.2, 'e': 0.75836187599050819}",25,3,-164.16840881436488,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 3}",1
73,False,"{'a': 0.2, 'e': 0.75180572914089505}",30,9,-74.23715959412968,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 2}",1
74,False,"{'a': 0.2, 'e': 0.74517440234487042}",25,12,-123.70791150887285,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 2}",1
75,False,"{'a': 0.2, 'e': 0.73846855872958794}",20,8,-20.416164119719873,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.7316888688738209}",20,4,-64.26459485190263,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
77,False,"{'a': 0.2, 'e': 0.7248360107409052}",20,0,-70.09134767204405,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.7179106696109433}",20,2,-77.25940294592817,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
